#	id	content	createdAt	createdDate	favors	reviewStatus	title	updatedAt	member
1	1	In Osaka and Kobe, the money was handed in on the 25th, and went through the authenticity test on the 26th, in Nagasaki, the money was handed in on the 27th, and went though the authenticity test on the 28th, and in Niigata, the authenticity test was on August 3, and lastly, in Hakodate the authenticity test was on August 12.	2020-12-09 16:13:26	2020-12-09	2	4	Silken Prince	2020-12-09 16:13:26	1
2	2	This method of constructing a test section was followed by the Oyama test line of Tohoku Shinkansen line and the maglev test line as well.	2020-12-09 16:41:14	2020-12-09	2	2	The Next Husband	2020-12-09 16:41:14	2
3	3	If they passed the test, they were hired as government officials, and this test was the highest level national exam for that time.	2020-12-09 16:41:37	2020-12-09	5	2	Silence of Touch	2020-12-09 16:41:37	3
4	4	In 1865, after being promoted to Shogoinoge (Senior Fifth Rank, Lower Grade), he passed the jogei (top ranked skill) test, the highest test for Imperial Court gagaku, with a perfect score.	2020-12-09 16:42:00	2020-12-09	0	2	The Eye's Courage	2020-12-09 16:42:00	4
5	5	"He wrote a letter of recommendation when his disciple, Kiyoyuki MIYOSHI, was taking Taisaku (a test required to become Monjo tokugosho), noting that ""Kiyoyuki's reputed talent is beyond his peers,"" but Kiyoyuki failed the test."	2020-12-09 16:42:22	2020-12-09	2	6	The Soaring of the Words	2020-12-09 16:42:22	5
6	6	April 8, 1997: Model 800 cars commenced test operation, running into the Kyoto Municipal Subway Tozai Line, and the test operation of all of 32 cars was conducted by the end of July.	2020-12-09 16:42:45	2020-12-09	1	4	Captive in the Wizard	2020-12-09 16:42:45	6
7	7	"Nobody can compare with him among kyoryosho (scholarship students), tokugyosho (selected students), shinshi (Daigaku student who passed a subject of the official appointment test), shusai (Daigaku student who passed a subject of the official appointment test), jogo (a student who completed a course), and taigyo (one who passed the test to become an official).

One of the theories is that the mother of a man called Yasaburo was transformed into a hag, and another is that a hag bit Yasaburo's mother to death and transformed herself into his mother; and much more."	2020-12-09 16:49:10	2020-12-09	1	4	Sucking Thoughts	2020-12-09 19:28:40	7
8	8	Sado ban (Sado version) had a character '佐' as hallmark of Sujimiyaku (inspector) on the place of test hallmark of Kobanshi, along with characters '神' and '当' as test hallmark of Fukisho.	2020-12-09 16:51:38	2020-12-09	1	6	The Lonely Secret	2020-12-09 16:51:38	8
9	9	Kyoto Tourism Culture Certification Test, for `Kyoto Expert Certification,' is a certification test covering knowledge about a particular place that is held by the Kyoto Chamber of Commerce.	2020-12-09 16:52:00	2020-12-09	3	1	Voyage of Heat	2020-12-09 16:52:00	9
10	10	After that, he successively filled posts as director of Shiyaku (medical and pharmaceutical test) in the Health and Medical Bureau of the Ministry of Education and manager of both the Tokyo Shiyakujo and Osaka Shiyakujo (national medical and pharmaceutical products test laboratory organization), but retired from that work because he was prone to illness and after that, he devoted himself to literary work.	2020-12-09 16:52:20	2020-12-09	0	6	The Memory's Male	2020-12-09 16:52:20	10
11	11	Although the Community Bus Yawata Route was at first established for testing purpose to conduct a real-world evaluation for the period of one year, the operation period of the route was later extended for another year from the first expiration date of the test in 2006, and again another year from the second expiration date of the test in 2007.	2020-12-09 16:53:24	2020-12-09	0	1	The Pirates of the Scent	2020-12-09 16:53:24	11
12	12	"Meanwhile, it is also thought that other subjects such as literature were incorporated into the education program, as it was revealed from the content of ""Ryonoshuge"" (Commentaries on the Civil Statutes) that there were some questions from Wen Xuan (a book), as well as Erya, in examinations to appoint shusai (Daigaku student who passed a subject of the official appointment test) (the Imperial Examination) and shinshi (Daigaku student who passed a subject of the official appointment test)."	2020-12-09 16:53:50	2020-12-09	2	3	Mage in the Touch	2020-12-09 16:53:50	12
13	13	Daigaku-ryo students had to take graduation examinations, and if they achieved a mark of 80 percentages, they then had to take one of the following examinations given by the Shikibu-sho (the Ministry of Ceremonies): Sinshi (Daigaku student who passed a subject of the official appointment test), Myobo (law), Myogyo (the study of classic Confucian writings), San (mathematics), or Shusai (Daigaku student who passed a subject of the official appointment test).	2020-12-09 16:54:20	2020-12-09	5	6	Last Vision	2020-12-09 16:54:20	13
14	14	It has chiseled mark like straw matt on its head, there are fan shape frame above and under the Kiri-mon (paulownia patterns), hallmark of 'Ichiryo' on upper part of the center and of Mitsutsugu (Kao ［written seal mark］) on lower part, Kao (written seal mark) on the center of the tail, test hallmark of Kobanshi (a Koban master) on the right or left part of lower part, and test hallmark of Fukisyo (in where Koban were casted).	2020-12-09 16:55:04	2020-12-09	0	6	The Ravaged Thief	2020-12-09 16:55:04	14
15	15	This Buddhist statue is rare in the following meanings: On the statue, hail patterns, kikko patterns and shippo patterns are provided using gold leaf, hail patterns using square silver leaf, and in addition, leaf combining gold leaf and silver leaf is used.	2020-12-09 16:56:05	2020-12-09	1	6	Woman of Something	2020-12-09 16:56:05	15
16	16	The term Lotus Leaf Women is related to the Lotus Leaf Trade etymologically, and though it is just an assumption, there is a suggestion Lotus Leaf traders may have also have worked as prostitutes.	2020-12-09 16:56:27	2020-12-09	2	3	The Witch's Witches	2020-12-09 16:56:27	16
17	17	Two types of gold leaf, called entsuki (leaf which is cut individually and sandwiched between sheets of specially made paper, also referred as enzuke) and tachikiri (leaf which is cut all together after being put between sheets of paper to make stacks of over 1000) are sold.	2020-12-09 16:56:46	2020-12-09	2	6	The Angels of the Secrets	2020-12-09 16:56:46	17
18	18	It enables the expression of such delicate neutral colors as 'futa-ai' (bluish purple obtained by dyeing with both deep red and indigo blue) and 'kobai' (color of reddish pink plum blossoms) which required complicated mixed dyeing, as well as kuchiba-iro (reddish yellow, literally, color of a dead and fallen leaf), moegi-iro (yellowish green, literally, color of a sprouting long green onion), miru-iro(blackish yellowish green, literally, color of miru, a kind of green algae) and asagi-iro(pale blue, literally, color of a thin blade of a long green onion).	2020-12-09 16:57:14	2020-12-09	2	1	Danger in the Bridge	2020-12-09 16:57:14	18
19	19	From a time not long after his death, there have been numerous legends about Seimei over-exaggerating his distinctiveness that 'he understood the language birds spoke,' 'his mother was a white fox named 'Kuzu no ha (Kuzu Leaf) living in the woods in Shinoda,' and 'he was an androgyny' and, in addition, Seimei has been the subject of countless literary works including Kojidan, Okagami, Uji shuin monogatari, Kokonchomonju, Konjaku monogatari shu, Taigensho, Nihongiryaku, Gonki, Heika monogatari (the Tale of the Taira clan), Oeyama ekotoba, Genko shakusho, Genpei seisuiki, Hosshinshu, Hojo kudaiki (Records of nine generations of the Hojo clan) and Shishuhyakuinnenshu, the topic for kabuki or bunraku such as Shinodazuma, Ashiya Doman ouchi kagami and Kanazoshi Abe no Seimei monogatari, the main character of the novels written by YUMEMAKURA Baku, comics created by OKANO Reiko, many movies and TV shows as well as computer games over the period from the Middle Ages to modern times and today.	2020-12-09 16:57:35	2020-12-09	3	1	Forgotten Silk	2020-12-09 16:57:35	19
20	20	"Incidentally, the long months in the year of 1825 were January, March, May, July, October, and December and a mnemonics for remembering the long months of the year was ""daisukiha zoni, kusamochi, kashiwamochi, bon no boatamochi, inoko, kanmochi"" (meaning ""What I like is zoni (vegetable soup containing mochi (rice cake), eaten on January 1), kusamochi (rice-flour dumplings mixed with mugwort, eaten on March 3), kashiwamochi (a rice cake which contains bean paste and is wrapped in an oak leaf, eaten May 5), botamochi of the Obon festival (a rice ball coated with sweetened red beans, soybean flour, or sesame, eaten on the day of Obon festival (Festival of the Dead or Buddhist All Soul's Day in mid July)), inokomochi (rice cake like a little boar, eaten on the day of boar in October), and kanmochi (rice cake pounded during the coldest season in December (around present-day January))."	2020-12-09 16:58:07	2020-12-09	2	2	The Only Voyager	2020-12-09 16:58:07	20
21	21	On an unfolded persimmon leaf is put on neta (sliced fish for sushi) including mackerel, salmon, yellowtail and bream; the next, vinegar rice is put on neta; then sakura-ebi (small pink shrimp) and seaweed are sprinkled over the rice, and it is put in a container; after the container filled with them, some weight is put on them and they are preserved for a day to a couple of days; after that they can be eaten.	2020-12-09 16:58:30	2020-12-09	0	6	Serpents of Night	2020-12-09 16:58:30	21
22	22	"As a couplet in a poem titled 'Anraku-ji ni sanzu' (Visited Anraku-ji Temple) (contained in ""Honcho zoku monzui"" (Further Anthology of waka poems and prose written in classical Chinese) composed by OE no Masafusa in 1100 to Anraku-ji Temple (SUGAWARA no Michizane's mortuary temple located in Dazaifu) had it 'Ruiyo roka no matsuyo tari' (I was the last leaf in a heap of leaves in the hallway), it could be estimated that the school had been kept by generations of the Monjo hakase of the Sugawara clan and at least until the late Heian period."	2020-12-09 16:58:59	2020-12-09	1	1	The Secrets's Lord	2020-12-09 19:29:23	22
23	23	Neri-mochi mentioned herein refers to that which is produced mainly by grinding glutinous rice into powder, adding hot water to the powder, and kneading the mixture, and this type of neri-mochi includes: gyuhi (Turkish delight) such as habutae-mochi, shiratama (rice-flour dumpling), and chimaki (bamboo-leaf-wrapped rice cake) in Japan; 'shuĭ-mó-nián-gāo' (water-polished new year rice cake) in China; 'tokku' (small round mochi to be put in boiled soup) in Korea; etc.	2020-12-09 16:59:22	2020-12-09	3	4	The Silk of the Abyss	2020-12-09 19:29:10	23
24	24	The sakin (gold dust) which had been produced in Mutsu Province from time immemorial was used for transactions on the basis of quality and quantity; and in the course of time, nerikin (agglutinate gold) made of dissolved sakin with a hallmark put on or takenagashikin (gold agglomeration made by putting dissolved sakin into a bamboo cylinder) began to be used, and furthermore bankin (gold coins) such as hirumokin (gold plate like a leaf of hirumo [a plant which grows on the sea sand]) which were made by beating gold blocks into the form of plates began to be made, and at first they were circulated as Hyodo kahei (currency valued by weight).	2020-12-09 16:59:44	2020-12-09	7	4	Nothing in the Game	2020-12-09 19:28:55	24
